platform,variant,top10_overlap,rank1_match,spearman_rho
jetson,Size_detector x0.5,10,True,0.9983
jetson,Size_detector x1.5,10,True,0.9968
jetson,Size_classifier x0.5,10,True,0.9926
jetson,Size_classifier x1.5,9,True,0.9949
jetson,det_lat_ms x0.5,7,True,0.9762
jetson,det_lat_ms x1.5,9,True,0.9847
jetson,mAP50-95 x0.5,10,True,0.9818
jetson,mAP50-95 x1.5,9,True,0.9909
jetson,cls_accuracy x0.5,8,True,0.9951
jetson,cls_accuracy x1.5,9,True,0.9967
jetson,e2e_accuracy x0.5,8,True,0.995
jetson,e2e_accuracy x1.5,9,True,0.9961
jetson,tier 0.90/0.10,9,True,0.9808
jetson,tier 0.85/0.15,10,True,1.0
jetson,tier 0.80/0.20,8,True,0.9944
jetson,tier 0.75/0.25,6,True,0.987
jetson,tier 0.70/0.30,6,True,0.9797
jetson,exact 0.4342/0.0658,10,True,0.9989
jetson,prior 0.40/0.10,10,True,0.9969
desktop,Size_detector x0.5,10,True,0.9977
desktop,Size_detector x1.5,10,True,0.9973
desktop,Size_classifier x0.5,9,True,0.9932
desktop,Size_classifier x1.5,10,True,0.9946
desktop,det_lat_ms x0.5,8,True,0.9788
desktop,det_lat_ms x1.5,8,True,0.9901
desktop,mAP50-95 x0.5,9,True,0.9815
desktop,mAP50-95 x1.5,9,True,0.9904
desktop,cls_accuracy x0.5,9,True,0.9945
desktop,cls_accuracy x1.5,8,True,0.9965
desktop,e2e_accuracy x0.5,9,True,0.9955
desktop,e2e_accuracy x1.5,9,True,0.9965
desktop,tier 0.90/0.10,8,True,0.9894
desktop,tier 0.85/0.15,10,True,1.0
desktop,tier 0.80/0.20,9,True,0.9959
desktop,tier 0.75/0.25,8,True,0.9906
desktop,tier 0.70/0.30,7,True,0.9843
desktop,exact 0.4342/0.0658,10,True,0.9986
desktop,prior 0.40/0.10,10,True,0.9972
