detector,classifier,Size_detector,Size_classifier,det_lat_ms,cls_lat_ms,e2e_lat_ms,n_det_faces,n_gt_faces,e2e_accuracy,cls_accuracy
YOLO-FP32-Base,YOLO-FP32-Base,5.513,3.601,9.4043,3.0397,28.5545,6.3,6.6,0.4848,0.5079
YOLO-FP32-P10,YOLO-FP32-Base,5.016,3.601,5.6509,2.5092,21.2079,6.2,6.6,0.4621,0.4919
YOLO-FP32-P15,YOLO-FP32-Base,4.726,3.601,5.1918,2.5054,20.9758,6.3,6.6,0.4848,0.5079
YOLO-FP16-P10,YOLO-FP32-Base,5.016,3.601,2.1647,2.5026,17.8061,6.25,6.6,0.4697,0.496
YOLO-FP16-P15,YOLO-FP32-Base,4.726,3.601,2.1476,2.51,17.8354,6.25,6.6,0.4848,0.512
YOLO-INT8-P10,YOLO-FP32-Base,5.016,3.601,2.1938,2.5019,17.5807,6.15,6.6,0.4924,0.5285
YOLO-INT8-P15,YOLO-FP32-Base,4.726,3.601,2.1802,2.5039,17.454,6.1,6.6,0.4697,0.5082
RT-DETR-FP32,YOLO-FP32-Base,265.755,3.601,334.6032,2.5111,350.2975,6.25,6.6,0.4773,0.504
YOLO-FP32-Base,YOLO-FP32-P10,5.513,6.353,9.4043,2.6675,26.2099,6.3,6.6,0.4697,0.4921
YOLO-FP32-P10,YOLO-FP32-P10,5.016,6.353,5.6509,2.5104,21.2153,6.2,6.6,0.4697,0.5
YOLO-FP32-P15,YOLO-FP32-P10,4.726,6.353,5.1918,2.5112,21.0125,6.3,6.6,0.4621,0.4841
YOLO-FP16-P10,YOLO-FP32-P10,5.016,6.353,2.1647,2.5086,17.8433,6.25,6.6,0.4545,0.48
YOLO-FP16-P15,YOLO-FP32-P10,4.726,6.353,2.1476,2.5093,17.8305,6.25,6.6,0.4697,0.496
YOLO-INT8-P10,YOLO-FP32-P10,5.016,6.353,2.1938,2.5177,17.6777,6.15,6.6,0.4545,0.4878
YOLO-INT8-P15,YOLO-FP32-P10,4.726,6.353,2.1802,2.508,17.4793,6.1,6.6,0.447,0.4836
RT-DETR-FP32,YOLO-FP32-P10,265.755,6.353,334.6032,2.5214,350.3621,6.25,6.6,0.4697,0.496
YOLO-FP32-Base,YOLO-FP32-P15,5.513,5.989,9.4043,2.7148,26.5078,6.3,6.6,0.4773,0.5
YOLO-FP32-P10,YOLO-FP32-P15,5.016,5.989,5.6509,2.53,21.3369,6.2,6.6,0.4621,0.4919
YOLO-FP32-P15,YOLO-FP32-P15,4.726,5.989,5.1918,2.5194,21.0643,6.3,6.6,0.4848,0.5079
YOLO-FP16-P10,YOLO-FP32-P15,5.016,5.989,2.1647,2.5131,17.8717,6.25,6.6,0.4848,0.512
YOLO-FP16-P15,YOLO-FP32-P15,4.726,5.989,2.1476,2.5121,17.8482,6.25,6.6,0.5,0.528
YOLO-INT8-P10,YOLO-FP32-P15,5.016,5.989,2.1938,2.5128,17.6477,6.15,6.6,0.4545,0.4878
YOLO-INT8-P15,YOLO-FP32-P15,4.726,5.989,2.1802,2.5124,17.5061,6.1,6.6,0.4621,0.5
