detector,classifier,scene,n_gt,n_matched,n_correct
YOLO-FP32-Base,YOLO-FP32-Base,0,12,12,9
YOLO-FP32-Base,YOLO-FP32-Base,1,9,9,6
YOLO-FP32-Base,YOLO-FP32-Base,2,11,10,9
YOLO-FP32-Base,YOLO-FP32-Base,3,4,4,1
YOLO-FP32-Base,YOLO-FP32-Base,4,9,8,2
YOLO-FP32-Base,YOLO-FP32-Base,5,4,4,2
YOLO-FP32-Base,YOLO-FP32-Base,6,4,4,4
YOLO-FP32-Base,YOLO-FP32-Base,7,4,4,2
YOLO-FP32-Base,YOLO-FP32-Base,8,16,13,3
YOLO-FP32-Base,YOLO-FP32-Base,9,8,8,2
YOLO-FP32-Base,YOLO-FP32-Base,10,4,4,2
YOLO-FP32-Base,YOLO-FP32-Base,11,5,5,5
YOLO-FP32-Base,YOLO-FP32-Base,12,5,5,2
YOLO-FP32-Base,YOLO-FP32-Base,13,9,9,2
YOLO-FP32-Base,YOLO-FP32-Base,14,5,4,0
YOLO-FP32-Base,YOLO-FP32-Base,15,5,5,3
YOLO-FP32-Base,YOLO-FP32-Base,16,5,5,4
YOLO-FP32-Base,YOLO-FP32-Base,17,3,3,1
YOLO-FP32-Base,YOLO-FP32-Base,18,6,6,4
YOLO-FP32-Base,YOLO-FP32-Base,19,4,4,1
YOLO-FP32-P10,YOLO-FP32-Base,0,12,12,9
YOLO-FP32-P10,YOLO-FP32-Base,1,9,9,6
YOLO-FP32-P10,YOLO-FP32-Base,2,11,9,7
YOLO-FP32-P10,YOLO-FP32-Base,3,4,4,1
YOLO-FP32-P10,YOLO-FP32-Base,4,9,7,2
YOLO-FP32-P10,YOLO-FP32-Base,5,4,4,1
YOLO-FP32-P10,YOLO-FP32-Base,6,4,4,4
YOLO-FP32-P10,YOLO-FP32-Base,7,4,4,1
YOLO-FP32-P10,YOLO-FP32-Base,8,16,14,5
YOLO-FP32-P10,YOLO-FP32-Base,9,8,8,2
YOLO-FP32-P10,YOLO-FP32-Base,10,4,4,2
YOLO-FP32-P10,YOLO-FP32-Base,11,5,5,5
YOLO-FP32-P10,YOLO-FP32-Base,12,5,4,0
YOLO-FP32-P10,YOLO-FP32-Base,13,9,9,2
YOLO-FP32-P10,YOLO-FP32-Base,14,5,4,0
YOLO-FP32-P10,YOLO-FP32-Base,15,5,5,3
YOLO-FP32-P10,YOLO-FP32-Base,16,5,5,5
YOLO-FP32-P10,YOLO-FP32-Base,17,3,3,1
