detector,classifier,Size_detector,Size_classifier,det_lat_ms,cls_lat_ms,e2e_lat_ms,n_det_faces,n_gt_faces,e2e_accuracy,cls_accuracy
YOLO-FP32-Base,MobileNetV3,5.513,0.522,9.6312,12.9876,91.453,6.3,6.6,0.4545,0.4762
YOLO-FP32-P10,MobileNetV3,5.016,0.522,5.6104,9.8058,66.4062,6.2,6.6,0.447,0.4758
YOLO-FP32-P15,MobileNetV3,4.726,0.522,5.2396,9.9194,67.7317,6.3,6.6,0.5152,0.5397
YOLO-FP16-P10,MobileNetV3,5.016,0.522,2.0886,11.8953,76.4344,6.25,6.6,0.4545,0.48
YOLO-FP16-P15,MobileNetV3,4.726,0.522,2.038,9.0544,58.6283,6.25,6.6,0.447,0.472
YOLO-INT8-P10,MobileNetV3,5.016,0.522,2.1338,9.0878,58.0239,6.15,6.6,0.5152,0.5528
YOLO-INT8-P15,MobileNetV3,4.726,0.522,2.1301,14.1361,88.3604,6.1,6.6,0.4621,0.5
RT-DETR-FP32,MobileNetV3,265.755,0.522,262.0029,8.8826,317.519,6.25,6.6,0.447,0.472
YOLO-FP32-Base,POSTERv2,5.513,180.722,9.6312,51.7274,335.5136,6.3,6.6,0.4167,0.4365
YOLO-FP32-P10,POSTERv2,5.016,180.722,5.6104,41.8279,264.9436,6.2,6.6,0.4394,0.4677
YOLO-FP32-P15,POSTERv2,4.726,180.722,5.2396,41.8836,269.1065,6.3,6.6,0.4773,0.5
YOLO-FP16-P10,POSTERv2,5.016,180.722,2.0886,46.7833,294.4844,6.25,6.6,0.447,0.472
YOLO-FP16-P15,POSTERv2,4.726,180.722,2.038,41.9283,264.0896,6.25,6.6,0.4697,0.496
YOLO-INT8-P10,POSTERv2,5.016,180.722,2.1338,44.2608,274.3378,6.15,6.6,0.4318,0.4634
YOLO-INT8-P15,POSTERv2,4.726,180.722,2.1301,46.9238,288.3652,6.1,6.6,0.4091,0.4426
RT-DETR-FP32,POSTERv2,265.755,180.722,262.0029,44.3986,539.4944,6.25,6.6,0.4242,0.448
YOLO-FP32-Base,PCNN,5.513,103.595,9.6312,36.4653,239.3625,6.3,6.6,0.3939,0.4127
YOLO-FP32-P10,PCNN,5.016,103.595,5.6104,26.0621,167.1953,6.2,6.6,0.3636,0.3871
YOLO-FP32-P15,PCNN,4.726,103.595,5.2396,26.9777,175.1992,6.3,6.6,0.3712,0.3889
YOLO-FP16-P10,PCNN,5.016,103.595,2.0886,25.9343,164.178,6.25,6.6,0.3788,0.4
YOLO-FP16-P15,PCNN,4.726,103.595,2.038,26.9377,170.3984,6.25,6.6,0.3788,0.4
YOLO-INT8-P10,PCNN,5.016,103.595,2.1338,29.951,186.3322,6.15,6.6,0.3485,0.374
YOLO-INT8-P15,PCNN,4.726,103.595,2.1301,30.6657,189.1907,6.1,6.6,0.3712,0.4016
RT-DETR-FP32,PCNN,265.755,103.595,262.0029,30.3684,451.8054,6.25,6.6,0.3864,0.408
