detector,classifier,scene,n_gt,n_matched,n_correct
YOLO-FP32-Base,MobileNetV3,0,12,12,8
YOLO-FP32-Base,MobileNetV3,1,9,9,6
YOLO-FP32-Base,MobileNetV3,2,11,10,5
YOLO-FP32-Base,MobileNetV3,3,4,4,2
YOLO-FP32-Base,MobileNetV3,4,9,8,3
YOLO-FP32-Base,MobileNetV3,5,4,4,3
YOLO-FP32-Base,MobileNetV3,6,4,4,1
YOLO-FP32-Base,MobileNetV3,7,4,4,2
YOLO-FP32-Base,MobileNetV3,8,16,13,4
YOLO-FP32-Base,MobileNetV3,9,8,8,6
YOLO-FP32-Base,MobileNetV3,10,4,4,0
YOLO-FP32-Base,MobileNetV3,11,5,5,2
YOLO-FP32-Base,MobileNetV3,12,5,5,0
YOLO-FP32-Base,MobileNetV3,13,9,9,3
YOLO-FP32-Base,MobileNetV3,14,5,4,3
YOLO-FP32-Base,MobileNetV3,15,5,5,5
YOLO-FP32-Base,MobileNetV3,16,5,5,2
YOLO-FP32-Base,MobileNetV3,17,3,3,2
YOLO-FP32-Base,MobileNetV3,18,6,6,1
YOLO-FP32-Base,MobileNetV3,19,4,4,2
YOLO-FP32-P10,MobileNetV3,0,12,12,8
YOLO-FP32-P10,MobileNetV3,1,9,9,6
YOLO-FP32-P10,MobileNetV3,2,11,9,3
YOLO-FP32-P10,MobileNetV3,3,4,4,3
YOLO-FP32-P10,MobileNetV3,4,9,7,4
YOLO-FP32-P10,MobileNetV3,5,4,4,3
YOLO-FP32-P10,MobileNetV3,6,4,4,1
YOLO-FP32-P10,MobileNetV3,7,4,4,3
YOLO-FP32-P10,MobileNetV3,8,16,14,3
YOLO-FP32-P10,MobileNetV3,9,8,8,7
YOLO-FP32-P10,MobileNetV3,10,4,4,0
YOLO-FP32-P10,MobileNetV3,11,5,5,2
YOLO-FP32-P10,MobileNetV3,12,5,4,0
YOLO-FP32-P10,MobileNetV3,13,9,9,3
YOLO-FP32-P10,MobileNetV3,14,5,4,3
YOLO-FP32-P10,MobileNetV3,15,5,5,4
YOLO-FP32-P10,MobileNetV3,16,5,5,2
YOLO-FP32-P10,MobileNetV3,17,3,3,2
YOLO-FP32-P10,MobileNetV3,18,6,6,1
YOLO-FP32-P10,MobileNetV3,19,4,4,1
YOLO-FP32-P15,MobileNetV3,0,12,12,9
YOLO-FP32-P15,MobileNetV3,1,9,9,7
YOLO-FP32-P15,MobileNetV3,2,11,11,5
YOLO-FP32-P15,MobileNetV3,3,4,4,2
YOLO-FP32-P15,MobileNetV3,4,9,7,4
YOLO-FP32-P15,MobileNetV3,5,4,4,3
YOLO-FP32-P15,MobileNetV3,6,4,4,2
YOLO-FP32-P15,MobileNetV3,7,4,4,3
YOLO-FP32-P15,MobileNetV3,8,16,15,3
YOLO-FP32-P15,MobileNetV3,9,8,8,5
YOLO-FP32-P15,MobileNetV3,10,4,4,1
YOLO-FP32-P15,MobileNetV3,11,5,5,3
YOLO-FP32-P15,MobileNetV3,12,5,4,0
YOLO-FP32-P15,MobileNetV3,13,9,9,4
YOLO-FP32-P15,MobileNetV3,14,5,3,3
YOLO-FP32-P15,MobileNetV3,15,5,5,5
YOLO-FP32-P15,MobileNetV3,16,5,5,2
YOLO-FP32-P15,MobileNetV3,17,3,3,2
YOLO-FP32-P15,MobileNetV3,18,6,6,2
YOLO-FP32-P15,MobileNetV3,19,4,4,3
YOLO-FP16-P10,MobileNetV3,0,12,12,9
YOLO-FP16-P10,MobileNetV3,1,9,9,6
YOLO-FP16-P10,MobileNetV3,2,11,10,3
YOLO-FP16-P10,MobileNetV3,3,4,4,3
YOLO-FP16-P10,MobileNetV3,4,9,7,4
YOLO-FP16-P10,MobileNetV3,5,4,4,3
YOLO-FP16-P10,MobileNetV3,6,4,4,2
YOLO-FP16-P10,MobileNetV3,7,4,4,3
