detector,classifier,Size_detector,Size_classifier,mAP50-95,det_lat_ms,cls_lat_ms,e2e_lat_ms,n_det_faces,n_gt_faces,e2e_accuracy,cls_accuracy,f1_pipeline,f1_classifier,EDUS,EDUS_rank,EDUS_cr,Rank_cr,Comb_Size
YOLO-FP16-P15,YOLO-FP32-Base,4.334,6.792,0.4769,2.5029,3.1304,21.7022,6.7,6.6,0.5282,0.5373,0.5327,0.5373,0.954,1,0.9683181213085351,1,11.126
YOLO-FP16-P10,YOLO-FP32-P10,4.629,6.104,0.4786,2.6018,3.1544,22.4093,6.8,6.6,0.5045,0.5133,0.5089,0.5133,0.9509,3,0.9565782834365775,2,10.733
YOLO-FP16-P10,YOLO-FP32-Base,4.629,6.792,0.4786,2.6018,3.1252,22.0497,6.8,6.6,0.5064,0.5138,0.5101,0.5138,0.9496,4,0.9556354861858345,3,11.421
YOLO-FP16-P15,YOLO-FP32-P10,4.334,6.104,0.4769,2.5029,3.1428,21.8963,6.7,6.6,0.4874,0.5007,0.494,0.5007,0.9481,5,0.9483422453791457,4,10.437999999999999
YOLO-FP32-P15,MobileNetV3,8.674,5.148,0.4731,6.7948,1.6872,27.1758,6.75,6.6,0.5152,0.5397,0.4025,0.4206,0.911,45,0.9478466804395206,5,13.822
YOLO-FP16-P15,YOLO-FP32-P15,4.334,5.74,0.4769,2.5029,3.197,21.9852,6.7,6.6,0.476,0.4974,0.4865,0.4974,0.9475,6,0.9450999513618401,6,10.074
YOLO-FP16-P10,YOLO-FP16-P15,4.629,3.052,0.4786,2.6018,3.749,21.481,6.8,6.6,0.4707,0.4798,0.4752,0.4798,0.9512,2,0.9449534117331498,7,7.680999999999999
YOLO-FP16-P10,YOLO-FP32-P15,4.629,5.74,0.4786,2.6018,3.0914,21.9458,6.8,6.6,0.4799,0.4887,0.4843,0.4887,0.947,7,0.9437068256003791,8,10.369
YOLO-FP32-P15,YOLO-FP32-Base,8.674,6.792,0.4731,6.7948,3.1896,26.4452,6.75,6.6,0.5219,0.5303,0.5261,0.5303,0.931,27,0.9432320602631515,9,15.466
YOLO-FP32-Base,YOLO-FP32-P10,10.228,6.104,0.4943,5.9321,3.1156,25.3694,6.75,6.6,0.5008,0.5085,0.5046,0.5085,0.9376,18,0.9422225248227843,10,16.332
YOLO-FP32-Base,YOLO-FP32-Base,10.228,6.792,0.4943,5.9321,3.097,25.2749,6.75,6.6,0.5014,0.5089,0.5051,0.5089,0.9362,21,0.940890049398501,11,17.02
YOLO-FP16-P10,MobileNetV3,4.629,5.148,0.4786,2.6018,1.4793,21.9718,6.8,6.6,0.4621,0.488,0.4121,0.423,0.9344,24,0.939944825002144,12,9.777
