detector,classifier,Size_detector,Size_classifier,mAP50-95,det_lat_ms,cls_lat_ms,e2e_lat_ms,n_det_faces,n_gt_faces,e2e_accuracy,cls_accuracy,f1_pipeline,f1_classifier,EDUS,EDUS_rank,EDUS_cr,Rank_cr,Comb_Size,Desk_Rank_cr
YOLO-FP16-P10,YOLO-FP32-Base,4.629,6.792,0.4895,23.5483,28.3041,201.5662,6.8,6.6,0.5189,0.5272,0.523,0.5272,0.9494,1,0.9653789603307915,1,11.421,3
YOLO-FP16-P15,YOLO-FP32-Base,4.334,6.792,0.4842,23.3133,28.2521,199.7182,6.7,6.6,0.5157,0.5231,0.5194,0.5231,0.947,3,0.9616148285438024,2,11.126,1
YOLO-FP16-P10,YOLO-FP32-P10,4.629,6.104,0.4895,23.5483,28.456,202.2658,6.8,6.6,0.5052,0.514,0.5096,0.514,0.9484,2,0.9595327844348783,3,10.733,2
YOLO-FP16-P15,YOLO-FP32-P10,4.334,6.104,0.4842,23.3133,28.3345,199.8449,6.7,6.6,0.4874,0.4987,0.493,0.4987,0.9436,7,0.9485679484225373,4,10.437999999999999,4
YOLO-FP16-P10,YOLO-FP32-P15,4.629,5.74,0.4895,23.5483,28.2896,201.4401,6.8,6.6,0.4799,0.4887,0.4843,0.4887,0.9446,6,0.9463730118780904,5,10.369,8
YOLO-FP16-P15,YOLO-FP32-P15,4.334,5.74,0.4842,23.3133,28.2646,199.3856,6.7,6.6,0.475,0.4935,0.4841,0.4935,0.9428,9,0.9444277621333549,6,10.074,6
YOLO-FP16-P10,MobileNetV3,4.629,5.148,0.4895,23.5483,12.2692,140.4809,6.8,6.6,0.4621,0.488,0.6029,0.6141,0.931,18,0.942354163301751,7,9.777,12
YOLO-FP16-P10,YOLO-FP16-P15,4.629,3.052,0.4895,23.5483,7.3,68.9697,6.8,6.6,0.4582,0.4673,0.4627,0.4673,0.9466,4,0.9407279466952804,8,7.680999999999999,7
YOLO-INT8-P10,MobileNetV3,2.315,5.148,0.4033,24.4833,12.2834,130.0372,7.9,6.6,0.5152,0.5528,0.5679,0.5883,0.8905,62,0.940574107000643,9,7.462999999999999,14
YOLO-FP32-P15,MobileNetV3,8.674,5.148,0.4791,49.9619,12.2789,166.2842,6.75,6.6,0.5152,0.5397,0.605,0.6225,0.8987,57,0.9390127899574198,10,13.822,5
YOLO-FP32-Base,YOLO-FP32-Base,10.228,6.792,0.5038,49.7403,28.1365,228.4137,6.75,6.6,0.5076,0.5151,0.5113,0.5151,0.9239,20,0.9360053460031131,11,17.02,11
YOLO-FP16-P15,YOLO-INT8-P15,4.334,1.435,0.4842,23.3133,7.3399,68.7294,6.7,6.6,0.4431,0.4543,0.4486,0.4543,0.9459,5,0.9349412922478869,12,5.769,28
YOLO-FP16-P15,YOLO-FP16-P15,4.334,3.052,0.4842,23.3133,7.2802,68.3445,6.7,6.6,0.4473,0.4569,0.452,0.4569,0.9429,8,0.9330638002369298,13,7.385999999999999,25
YOLO-FP16-P15,MobileNetV3,4.334,5.148,0.4842,23.3133,12.2733,130.6082,6.7,6.6,0.447,0.472,0.6145,0.6316,0.9314,17,0.93199928914387,14,9.482,17
YOLO-FP32-Base,YOLO-FP32-P10,10.228,6.104,0.5038,49.7403,30.2203,243.1175,6.75,6.6,0.4977,0.5041,0.5009,0.5041,0.9235,21,0.931847110248045,15,16.332,10
YOLO-FP32-P10,YOLO-FP32-Base,9.257,6.792,0.4873,49.9524,28.1366,225.4736,6.7,6.6,0.5081,0.5187,0.5133,0.5187,0.9179,27,0.9306705561877691,16,16.049,16
YOLO-FP32-P15,YOLO-FP32-Base,8.674,6.792,0.4791,49.9619,28.2524,226.0806,6.75,6.6,0.5157,0.5217,0.5187,0.5217,0.9159,28,0.9306218006014836,17,15.466,9
YOLO-FP16-P10,YOLO-FP16-P10,4.629,3.396,0.4895,23.5483,7.2409,68.5648,6.8,6.6,0.4347,0.4458,0.4402,0.4458,0.9417,11,0.9274278098779786,18,8.024999999999999,19
YOLO-FP32-Base,YOLO-FP32-P15,10.228,5.74,0.5038,49.7403,28.5298,230.8321,6.75,6.6,0.4829,0.4956,0.4892,0.4956,0.9221,22,0.92614332360675,19,15.968,18
YOLO-FP32-P15,YOLO-FP32-P15,8.674,5.74,0.4791,49.9619,28.5139,227.6408,6.75,6.6,0.4965,0.5127,0.5045,0.5127,0.9156,29,0.9251080029703788,20,14.414,13
YOLO-FP32-Base,YOLO-INT8-P10,10.228,1.526,0.5038,49.7403,7.4482,96.4714,6.75,6.6,0.4598,0.4694,0.4646,0.4694,0.927,19,0.9224113105048453,21,11.754,15
YOLO-FP16-P10,YOLO-INT8-P15,4.629,1.435,0.4895,23.5483,7.3401,69.3377,6.8,6.6,0.4146,0.4212,0.4179,0.4212,0.942,10,0.9197162808423877,22,6.064,22
YOLO-FP32-Base,YOLO-FP16-P10,10.228,3.396,0.5038,49.7403,7.2266,95.1678,6.75,6.6,0.4553,0.4644,0.4598,0.4644,0.922,23,0.9154093158554647,23,13.623999999999999,20
YOLO-FP16-P10,LANMSFF,4.629,1.224,0.4895,23.5483,5.654,59.1638,6.8,6.6,0.4014,0.4166,0.4089,0.4166,0.9408,12,0.9151392809598266,24,5.853,21
YOLO-FP32-Base,MobileNetV3,10.228,5.148,0.5038,49.7403,12.2674,167.2832,6.75,6.6,0.4545,0.4762,0.613,0.621,0.9095,36,0.9141443547252464,25,15.376,23
YOLO-FP32-P15,YOLO-FP32-P10,8.674,6.104,0.4791,49.9619,28.441,227.1884,6.75,6.6,0.4781,0.4853,0.4817,0.4853,0.9106,34,0.911721047240782,26,14.777999999999999,26
YOLO-INT8-P10,YOLO-FP32-Base,2.315,6.792,0.4033,24.4833,30.0665,209.2869,7.9,6.6,0.4789,0.4942,0.4864,0.4942,0.9086,38,0.9108120789123126,27,9.107,42
YOLO-FP32-Base,YOLO-FP16-P15,10.228,3.052,0.5038,49.7403,7.2944,95.8234,6.75,6.6,0.444,0.4529,0.4484,0.4529,0.9206,24,0.9099044350671326,28,13.28,24
YOLO-INT8-P15,MobileNetV3,2.17,5.148,0.398,24.3988,12.2634,160.0964,10.3,6.6,0.4621,0.5,0.5035,0.5163,0.8767,63,0.9092840947206053,29,7.318,34
YOLO-FP16-P15,YOLO-FP16-P10,4.334,3.396,0.4842,23.3133,7.4501,68.8044,6.7,6.6,0.4036,0.4097,0.4066,0.4097,0.9338,15,0.9071437250393464,30,7.7299999999999995,31
YOLO-FP32-P10,YOLO-FP16-P10,9.257,3.396,0.4873,49.9524,7.2442,94.6864,6.7,6.6,0.4488,0.4627,0.4556,0.4627,0.9149,30,0.9066403270964585,31,12.652999999999999,30
YOLO-FP32-P10,MobileNetV3,9.257,5.148,0.4873,49.9524,12.2716,166.2492,6.7,6.6,0.447,0.4758,0.6059,0.618,0.9018,53,0.90542048040286,32,14.405,32
YOLO-FP16-P10,YOLO-INT8-P10,4.629,1.526,0.4895,23.5483,7.8145,71.7144,6.8,6.6,0.3847,0.3933,0.389,0.3933,0.9365,13,0.9034640621564672,33,6.154999999999999,27
YOLO-FP32-P10,YOLO-FP32-P10,9.257,6.104,0.4873,49.9524,29.6174,234.2594,6.7,6.6,0.4538,0.4649,0.4593,0.4649,0.9095,36,0.9023383180852832,34,15.361,35
YOLO-INT8-P15,YOLO-FP32-P10,2.17,6.104,0.398,24.3988,28.3755,199.871,10.3,6.6,0.4662,0.4762,0.4711,0.4762,0.9054,45,0.9020503038819015,35,8.274000000000001,37
YOLO-FP32-Base,LANMSFF,10.228,1.224,0.5038,49.7403,6.0766,89.6907,6.75,6.6,0.4152,0.427,0.421,0.427,0.9197,25,0.8989900651063267,36,11.452,36
YOLO-FP16-P15,LANMSFF,4.334,1.224,0.4842,23.3133,5.6692,58.6713,6.7,6.6,0.3735,0.3908,0.382,0.3908,0.9341,14,0.8984764549240113,37,5.558,38
YOLO-INT8-P15,LANMSFF,2.17,1.224,0.398,24.3988,5.667,59.502,10.3,6.6,0.4316,0.4574,0.4441,0.4574,0.9113,33,0.8984307147260988,38,3.394,59
YOLO-FP32-Base,YOLO-INT8-P15,10.228,1.435,0.5038,49.7403,7.9746,100.3477,6.75,6.6,0.4153,0.4225,0.4189,0.4225,0.9188,26,0.8973533766086059,39,11.663,29
YOLO-FP32-P10,YOLO-FP16-P15,9.257,3.052,0.4873,49.9524,7.2833,95.0353,6.7,6.6,0.4327,0.4404,0.4365,0.4404,0.9121,32,0.8969144956039011,40,12.309,45
