detector,classifier,Size_detector,Size_classifier,mAP50-95,det_lat_ms,cls_lat_ms,e2e_lat_ms,n_det_faces,n_gt_faces,e2e_accuracy,cls_accuracy,f1_pipeline,f1_classifier,EDUS,EDUS_rank
YOLO-FP16-P15,YOLO-FP32-Base,4.334,6.792,0.4769,2.5029,3.1304,21.7022,6.7,6.6,0.5282,0.5373,0.5327,0.5373,0.954,1
YOLO-FP16-P10,YOLO-FP16-P15,4.629,3.052,0.4786,2.6018,3.749,21.481,6.8,6.6,0.4707,0.4798,0.4752,0.4798,0.9512,2
YOLO-FP16-P10,YOLO-FP32-P10,4.629,6.104,0.4786,2.6018,3.1544,22.4093,6.8,6.6,0.5045,0.5133,0.5089,0.5133,0.9509,3
YOLO-FP16-P10,YOLO-FP32-Base,4.629,6.792,0.4786,2.6018,3.1252,22.0497,6.8,6.6,0.5064,0.5138,0.5101,0.5138,0.9496,4
YOLO-FP16-P15,YOLO-FP32-P10,4.334,6.104,0.4769,2.5029,3.1428,21.8963,6.7,6.6,0.4874,0.5007,0.494,0.5007,0.9481,5
YOLO-FP16-P15,YOLO-FP32-P15,4.334,5.74,0.4769,2.5029,3.197,21.9852,6.7,6.6,0.476,0.4974,0.4865,0.4974,0.9475,6
YOLO-FP16-P10,YOLO-FP32-P15,4.629,5.74,0.4786,2.6018,3.0914,21.9458,6.8,6.6,0.4799,0.4887,0.4843,0.4887,0.947,7
YOLO-FP16-P10,LANMSFF,4.629,1.224,0.4786,2.6018,0.8463,7.8571,6.8,6.6,0.4208,0.439,0.4297,0.439,0.9466,8
YOLO-FP16-P10,YOLO-INT8-P15,4.629,1.435,0.4786,2.6018,7.627,54.674,6.8,6.6,0.4275,0.4311,0.4293,0.4311,0.946,9
YOLO-FP16-P10,YOLO-FP16-P10,4.629,3.396,0.4786,2.6018,11.7091,73.0503,6.8,6.6,0.443,0.4542,0.4485,0.4542,0.9453,10
YOLO-FP16-P10,YOLO-INT8-P10,4.629,1.526,0.4786,2.6018,9.6886,54.982,6.8,6.6,0.418,0.4292,0.4235,0.4292,0.9447,11
YOLO-FP16-P15,YOLO-INT8-P15,4.334,1.435,0.4769,2.5029,7.5505,37.9704,6.7,6.6,0.4154,0.4199,0.4176,0.4199,0.9439,12
YOLO-FP16-P15,YOLO-FP16-P15,4.334,3.052,0.4769,2.5029,7.3973,48.0786,6.7,6.6,0.4311,0.4334,0.4322,0.4334,0.9431,13
YOLO-FP32-Base,YOLO-INT8-P10,10.228,1.526,0.4943,5.9321,7.6404,40.184,6.75,6.6,0.4651,0.476,0.4705,0.476,0.9413,14
YOLO-FP16-P15,YOLO-INT8-P10,4.334,1.526,0.4769,2.5029,5.6404,28.7641,6.7,6.6,0.4017,0.4081,0.4049,0.4081,0.9412,15
YOLO-FP16-P15,LANMSFF,4.334,1.224,0.4769,2.5029,0.8712,7.8116,6.7,6.6,0.3828,0.4019,0.3921,0.4019,0.9394,16
YOLO-FP16-P15,YOLO-FP16-P10,4.334,3.396,0.4769,2.5029,9.705,72.7224,6.7,6.6,0.4129,0.42,0.4164,0.42,0.9392,17
YOLO-FP32-Base,YOLO-FP32-P10,10.228,6.104,0.4943,5.9321,3.1156,25.3694,6.75,6.6,0.5008,0.5085,0.5046,0.5085,0.9376,18
YOLO-FP32-Base,YOLO-FP16-P10,10.228,3.396,0.4943,5.9321,5.5283,47.0228,6.75,6.6,0.4622,0.4731,0.4676,0.4731,0.9366,19
YOLO-FP16-P15,MobileNetV3,4.334,5.148,0.4769,2.5029,1.4175,21.1928,6.7,6.6,0.4046,0.4386,0.4211,0.4386,0.9363,20
YOLO-FP32-Base,YOLO-FP32-Base,10.228,6.792,0.4943,5.9321,3.097,25.2749,6.75,6.6,0.5014,0.5089,0.5051,0.5089,0.9362,21
YOLO-FP32-Base,YOLO-INT8-P15,10.228,1.435,0.4943,5.9321,7.5626,51.8441,6.75,6.6,0.4357,0.4426,0.4391,0.4426,0.9355,22
YOLO-FP32-Base,YOLO-FP16-P15,10.228,3.052,0.4943,5.9321,3.8473,35.1386,6.75,6.6,0.4503,0.46,0.4551,0.46,0.9349,23
YOLO-FP16-P10,MobileNetV3,4.629,5.148,0.4786,2.6018,1.4793,21.9718,6.8,6.6,0.4015,0.423,0.4121,0.423,0.9344,24
YOLO-FP32-Base,YOLO-FP32-P15,10.228,5.74,0.4943,5.9321,3.1152,25.4089,6.75,6.6,0.4773,0.4894,0.4833,0.4894,0.9343,25
YOLO-FP32-Base,LANMSFF,10.228,1.224,0.4943,5.9321,0.9249,11.7312,6.75,6.6,0.412,0.427,0.4194,0.427,0.9322,26
YOLO-FP32-P15,YOLO-FP32-Base,8.674,6.792,0.4731,6.7948,3.1896,26.4452,6.75,6.6,0.5219,0.5303,0.5261,0.5303,0.931,27
YOLO-FP32-P15,YOLO-FP32-P15,8.674,5.74,0.4731,6.7948,3.1363,26.0022,6.75,6.6,0.5028,0.5212,0.5118,0.5212,0.9306,28
YOLO-FP32-P10,YOLO-FP32-Base,9.257,6.792,0.4763,7.15,3.1314,26.5409,6.7,6.6,0.5049,0.5151,0.5099,0.5151,0.927,29
YOLO-FP32-P10,YOLO-FP16-P10,9.257,3.396,0.4763,7.15,13.6565,110.7249,6.7,6.6,0.452,0.4654,0.4586,0.4654,0.9247,30
YOLO-FP32-P10,LANMSFF,9.257,1.224,0.4763,7.15,0.8609,12.4507,6.7,6.6,0.4208,0.4408,0.4306,0.4408,0.9242,31
YOLO-FP32-P15,YOLO-FP32-P10,8.674,6.104,0.4731,6.7948,3.0872,25.7532,6.75,6.6,0.4781,0.4869,0.4825,0.4869,0.9242,31
