detector,classifier,Size_detector,Size_classifier,mAP50-95,det_lat_ms,cls_lat_ms,e2e_lat_ms,n_det_faces,n_gt_faces,e2e_accuracy,cls_accuracy,f1_pipeline,f1_classifier,EDUS,EDUS_rank
YOLO-FP32-Base,YOLO-FP32-Base,10.228,6.792,0.5038,49.7403,28.1365,228.4137,6.75,6.6,0.5076,0.5151,0.5113,0.5151,0.9239,20
YOLO-FP32-Base,YOLO-FP32-P10,10.228,6.104,0.5038,49.7403,30.2203,243.1175,6.75,6.6,0.4977,0.5041,0.5009,0.5041,0.9235,21
YOLO-FP32-Base,YOLO-FP32-P15,10.228,5.74,0.5038,49.7403,28.5298,230.8321,6.75,6.6,0.4829,0.4956,0.4892,0.4956,0.9221,22
YOLO-FP32-Base,YOLO-FP16-P10,10.228,3.396,0.5038,49.7403,7.2266,95.1678,6.75,6.6,0.4553,0.4644,0.4598,0.4644,0.922,23
YOLO-FP32-Base,YOLO-FP16-P15,10.228,3.052,0.5038,49.7403,7.2944,95.8234,6.75,6.6,0.444,0.4529,0.4484,0.4529,0.9206,24
YOLO-FP32-Base,YOLO-INT8-P10,10.228,1.526,0.5038,49.7403,7.4482,96.4714,6.75,6.6,0.4598,0.4694,0.4646,0.4694,0.927,19
YOLO-FP32-Base,YOLO-INT8-P15,10.228,1.435,0.5038,49.7403,7.9746,100.3477,6.75,6.6,0.4153,0.4225,0.4189,0.4225,0.9188,26
YOLO-FP32-Base,LANMSFF,10.228,1.224,0.5038,49.7403,6.0766,89.6907,6.75,6.6,0.4152,0.427,0.421,0.427,0.9197,25
YOLO-FP32-Base,MobileNetV3,10.228,5.148,0.5038,49.7403,12.2674,167.2832,6.75,6.6,0.4053,0.421,0.613,0.621,0.9095,36
YOLO-FP32-Base,POSTERv2,10.228,180.56,0.5038,49.7403,30.4072,242.7098,6.75,6.6,0.6366,0.6534,0.6449,0.6534,0.5608,73
YOLO-FP32-Base,PCNN,10.228,103.524,0.5038,49.7403,29.0722,237.0558,6.75,6.6,0.1553,0.1583,0.1568,0.1583,0.6429,66
YOLO-FP32-P10,YOLO-FP32-Base,9.257,6.792,0.4873,49.9524,28.1366,225.4736,6.7,6.6,0.5081,0.5187,0.5133,0.5187,0.9179,27
YOLO-FP32-P10,YOLO-FP32-P10,9.257,6.104,0.4873,49.9524,29.6174,234.2594,6.7,6.6,0.4538,0.4649,0.4593,0.4649,0.9095,36
YOLO-FP32-P10,YOLO-FP32-P15,9.257,5.74,0.4873,49.9524,28.5876,227.8714,6.7,6.6,0.4119,0.421,0.4164,0.421,0.9024,50
